strain	run	replicate	quant_file
Akashinriki	ERR11786295	1	Akashinriki_Sh1_quant.sf
Akashinriki	ERR11786296	2	Akashinriki_Sh2_quant.sf
Akashinriki	ERR11786297	3	Akashinriki_Sh3_quant.sf
B1K-04-12	ERR11786310	1	FT11_Sh1_quant.sf
B1K-04-12	ERR11786311	2	FT11_Sh2_quant.sf
B1K-04-12	ERR11786312	3	FT11_Sh3_quant.sf
Barke	ERR11786325	1	Barke_Sh1_quant.sf
Barke	ERR11786326	2	Barke_Sh2_quant.sf
Barke	ERR11786327	3	Barke_Sh3_quant.sf
Golden Promise	ERR11786354	1	GP_Sh1_quant.sf
Golden Promise	ERR11786355	2	GP_Sh2_quant.sf
Golden Promise	ERR11786356	3	GP_Sh3_quant.sf
HOR 10350	ERR11786383	1	Hor10350_Sh1_quant.sf
HOR 10350	ERR11786384	2	Hor10350_Sh2_quant.sf
HOR 10350	ERR11786385	3	Hor10350_Sh3_quant.sf
HOR 13821	ERR11786398	1	Hor13821_Sh1_quant.sf
HOR 13821	ERR11786399	2	Hor13821_Sh2_quant.sf
HOR 13821	ERR11786400	3	Hor13821_Sh3_quant.sf
HOR 13942	ERR11786413	1	Hor13942_Sh1_quant.sf
HOR 13942	ERR11786414	2	Hor13942_Sh2_quant.sf
HOR 13942	ERR11786415	3	Hor13942_Sh3_quant.sf
HOR 21599	ERR11786428	1	Hor21599_Sh1_quant.sf
HOR 21599	ERR11786429	2	Hor21599_Sh2_quant.sf
HOR 21599	ERR11786430	3	Hor21599_Sh3_quant.sf
HOR 3081	ERR11786443	1	Hor3081_Sh1_quant.sf
HOR 3081	ERR11786444	2	Hor3081_Sh2_quant.sf
HOR 3081	ERR11786445	3	Hor3081_Sh3_quant.sf
HOR 3365	ERR11786458	1	Hor3365_Sh1_quant.sf
HOR 3365	ERR11786459	2	Hor3365_Sh2_quant.sf
HOR 3365	ERR11786460	3	Hor3365_Sh3_quant.sf
HOR 7552	ERR11786472	1	Hor7552_Sh1_quant.sf
HOR 7552	ERR11786473	2	Hor7552_Sh2_quant.sf
HOR 7552	ERR11786474	3	Hor7552_Sh3_quant.sf
HOR 8148	ERR11786486	1	Hor8148_Sh1_quant.sf
HOR 8148	ERR11786487	2	Hor8148_Sh2_quant.sf
HOR 8148	ERR11786488	3	Hor8148_Sh3_quant.sf
HOR 9043	ERR11786501	1	Hor9043_Sh1_quant.sf
HOR 9043	ERR11786502	2	Hor9043_Sh2_quant.sf
HOR 9043	ERR11786503	3	Hor9043_Sh3_quant.sf
Hockett	ERR11786369	1	Hockett_Sh1_quant.sf
Hockett	ERR11786370	2	Hockett_Sh2_quant.sf
Hockett	ERR11786371	3	Hockett_Sh3_quant.sf
Igri	ERR11786516	1	Igri_Sh1_quant.sf
Igri	ERR11786517	2	Igri_Sh2_quant.sf
Igri	ERR11786518	3	Igri_Sh3_quant.sf
Morex	ERR11786531	1	Morex_Sh1_quant.sf
Morex	ERR11786532	2	Morex_Sh2_quant.sf
Morex	ERR11786533	3	Morex_Sh3_quant.sf
OUN333	ERR11786546	1	OUN333_Sh1_quant.sf
OUN333	ERR11786547	2	OUN333_Sh2_quant.sf
OUN333	ERR11786548	3	OUN333_Sh3_quant.sf
RGT Planet	ERR11786561	1	RGT_Planet_Sh1_quant.sf
RGT Planet	ERR11786562	2	RGT_Planet_Sh2_quant.sf
RGT Planet	ERR11786563	3	RGT_Planet_Sh3_quant.sf
ZDM01467	ERR11786591	1	Du_Li_Huang_Sh1_quant.sf
ZDM01467	ERR11786592	2	Du_Li_Huang_Sh2_quant.sf
ZDM01467	ERR11786593	3	Du_Li_Huang_Sh3_quant.sf
ZDM02064	ERR11786606	1	Chi_Ba_Damai_Sh1_quant.sf
ZDM02064	ERR11786607	2	Chi_Ba_Damai_Sh2_quant.sf
ZDM02064	ERR11786608	3	Chi_Ba_Damai_Sh3_quant.sf
