gene_id	gene_name	description
HORVU.MOREX.r3.7HG0737000	NA	NA
HORVU.MOREX.r3.6HG0542030	NA	NA
HORVU.MOREX.r3.3HG0329120	NA	NA
HORVU.MOREX.r3.7HG0670770	NA	NA
HORVU.MOREX.r3.5HG0475840	NA	NA
HORVU.MOREX.r3.2HG0191020	NA	NA
HORVU.MOREX.r3.2HG0134140	NA	NA
HORVU.MOREX.r3.3HG0270400	NA	NA
HORVU.MOREX.r3.2HG0144470	NA	NA
HORVU.MOREX.r3.3HG0252880	NA	NA
HORVU.MOREX.r3.1HG0064460	NA	NA
HORVU.MOREX.r3.6HG0554650	NA	NA
HORVU.MOREX.r3.1HG0008890	NA	NA
HORVU.MOREX.r3.3HG0232630	NA	NA
HORVU.MOREX.r3.3HG0226190	NA	NA
HORVU.MOREX.r3.7HG0751250	NA	NA
HORVU.MOREX.r3.3HG0270530	NA	NA
HORVU.MOREX.r3.3HG0309610	NA	NA
HORVU.MOREX.r3.7HG0641280	NA	NA
HORVU.MOREX.r3.4HG0398910	NA	NA
HORVU.MOREX.r3.6HG0616540	NA	NA
HORVU.MOREX.r3.7HG0721400	NA	NA
HORVU.MOREX.r3.6HG0605750	NA	NA
HORVU.MOREX.r3.2HG0217070	NA	NA
HORVU.MOREX.r3.3HG0254010	NA	NA
HORVU.MOREX.r3.7HG0703170	NA	NA
HORVU.MOREX.r3.2HG0138770	NA	NA
HORVU.MOREX.r3.2HG0118030	NA	NA
HORVU.MOREX.r3.6HG0615420	NA	NA
HORVU.MOREX.r3.4HG0345880	NA	NA
HORVU.MOREX.r3.5HG0424760	NA	NA
HORVU.MOREX.r3.5HG0458900	NA	NA
HORVU.MOREX.r3.2HG0145360	NA	NA
HORVU.MOREX.r3.7HG0725550	NA	NA
HORVU.MOREX.r3.3HG0320590	NA	NA
HORVU.MOREX.r3.7HG0691770	NA	NA
HORVU.MOREX.r3.6HG0589780	NA	NA
HORVU.MOREX.r3.2HG0100490	NA	NA
HORVU.MOREX.r3.7HG0659690	NA	NA
HORVU.MOREX.r3.2HG0175770	NA	NA
HORVU.MOREX.r3.UnG0774900	NA	NA
HORVU.MOREX.r3.4HG0388120	NA	NA
HORVU.MOREX.r3.2HG0131170	NA	NA
HORVU.MOREX.r3.1HG0081280	NA	NA
HORVU.MOREX.r3.3HG0276910	NA	NA
HORVU.MOREX.r3.6HG0575030	NA	NA
HORVU.MOREX.r3.6HG0552890	NA	NA
HORVU.MOREX.r3.7HG0732200	NA	NA
HORVU.MOREX.r3.3HG0303180	NA	NA
HORVU.MOREX.r3.2HG0138660	NA	NA
HORVU.MOREX.r3.6HG0629450	NA	NA
HORVU.MOREX.r3.4HG0348050	NA	NA
HORVU.MOREX.r3.5HG0423390	NA	NA
HORVU.MOREX.r3.7HG0644370	NA	NA
HORVU.MOREX.r3.3HG0295000	NA	NA
HORVU.MOREX.r3.2HG0117790	NA	NA
HORVU.MOREX.r3.6HG0578460	NA	NA
HORVU.MOREX.r3.3HG0269870	NA	NA
HORVU.MOREX.r3.5HG0499250	NA	NA
HORVU.MOREX.r3.3HG0240970	NA	NA
HORVU.MOREX.r3.3HG0254660	NA	NA
HORVU.MOREX.r3.7HG0677610	NA	NA
HORVU.MOREX.r3.5HG0488830	NA	NA
HORVU.MOREX.r3.5HG0494820	NA	NA
HORVU.MOREX.r3.3HG0297850	NA	NA
HORVU.MOREX.r3.4HG0394020	NA	NA
HORVU.MOREX.r3.5HG0466520	NA	NA
HORVU.MOREX.r3.7HG0651420	NA	NA
HORVU.MOREX.r3.1HG0081850	NA	NA
HORVU.MOREX.r3.5HG0517330	NA	NA
HORVU.MOREX.r3.2HG0158760	NA	NA
HORVU.MOREX.r3.5HG0505980	NA	NA
HORVU.MOREX.r3.7HG0648840	NA	NA
HORVU.MOREX.r3.1HG0064900	NA	NA
HORVU.MOREX.r3.7HG0653200	NA	NA
HORVU.MOREX.r3.2HG0099020	NA	NA
HORVU.MOREX.r3.1HG0094740	NA	NA
HORVU.MOREX.r3.2HG0201610	NA	NA
HORVU.MOREX.r3.3HG0291740	NA	NA
HORVU.MOREX.r3.6HG0606520	NA	NA
HORVU.MOREX.r3.3HG0248590	NA	NA
HORVU.MOREX.r3.2HG0132210	NA	NA
HORVU.MOREX.r3.2HG0162560	NA	NA
HORVU.MOREX.r3.2HG0143690	NA	NA
