gene_id	pathway_id	pathway_name
HORVU.MOREX.r3.2HG0185540	GO:0000009	alpha-1,6-mannosyltransferase activity
HORVU.MOREX.r3.2HG0195600	GO:0000009	alpha-1,6-mannosyltransferase activity
HORVU.MOREX.r3.7HG0672890	GO:0000009	alpha-1,6-mannosyltransferase activity
HORVU.MOREX.r3.1HG0054030	GO:0000012	single strand break repair
HORVU.MOREX.r3.4HG0384570	GO:0000012	single strand break repair
HORVU.MOREX.r3.7HG0648920	GO:0000012	single strand break repair
HORVU.MOREX.r3.2HG0203610	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
HORVU.MOREX.r3.2HG0203620	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
HORVU.MOREX.r3.2HG0203800	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
HORVU.MOREX.r3.2HG0203810	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
HORVU.MOREX.r3.2HG0203840	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
HORVU.MOREX.r3.2HG0207110	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
HORVU.MOREX.r3.2HG0207380	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
HORVU.MOREX.r3.3HG0222150	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
HORVU.MOREX.r3.3HG0222160	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
HORVU.MOREX.r3.4HG0418780	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
HORVU.MOREX.r3.7HG0715110	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
HORVU.MOREX.r3.2HG0195270	GO:0000015	phosphopyruvate hydratase complex
HORVU.MOREX.r3.4HG0389460	GO:0000015	phosphopyruvate hydratase complex
HORVU.MOREX.r3.5HG0421370	GO:0000015	phosphopyruvate hydratase complex
HORVU.MOREX.r3.5HG0440840	GO:0000015	phosphopyruvate hydratase complex
HORVU.MOREX.r3.5HG0477350	GO:0000015	phosphopyruvate hydratase complex
HORVU.MOREX.r3.7HG0647190	GO:0000015	phosphopyruvate hydratase complex
HORVU.MOREX.r3.2HG0122840	GO:0000025	maltose catabolic process
HORVU.MOREX.r3.2HG0131920	GO:0000025	maltose catabolic process
HORVU.MOREX.r3.3HG0246370	GO:0000026	alpha-1,2-mannosyltransferase activity
HORVU.MOREX.r3.5HG0428060	GO:0000026	alpha-1,2-mannosyltransferase activity
HORVU.MOREX.r3.6HG0543130	GO:0000026	alpha-1,2-mannosyltransferase activity
HORVU.MOREX.r3.1HG0019380	GO:0000027	ribosomal large subunit assembly
HORVU.MOREX.r3.1HG0039860	GO:0000027	ribosomal large subunit assembly
HORVU.MOREX.r3.2HG0107660	GO:0000027	ribosomal large subunit assembly
HORVU.MOREX.r3.2HG0196710	GO:0000027	ribosomal large subunit assembly
HORVU.MOREX.r3.5HG0480210	GO:0000027	ribosomal large subunit assembly
HORVU.MOREX.r3.6HG0589890	GO:0000027	ribosomal large subunit assembly
HORVU.MOREX.r3.1HG0086720	GO:0000028	ribosomal small subunit assembly
HORVU.MOREX.r3.1HG0089580	GO:0000028	ribosomal small subunit assembly
HORVU.MOREX.r3.6HG0611740	GO:0000028	ribosomal small subunit assembly
HORVU.MOREX.r3.7HG0692500	GO:0000028	ribosomal small subunit assembly
HORVU.MOREX.r3.2HG0195600	GO:0000030	mannosyltransferase activity
HORVU.MOREX.r3.3HG0233380	GO:0000030	mannosyltransferase activity
HORVU.MOREX.r3.4HG0405200	GO:0000030	mannosyltransferase activity
HORVU.MOREX.r3.5HG0507100	GO:0000030	mannosyltransferase activity
HORVU.MOREX.r3.7HG0672890	GO:0000030	mannosyltransferase activity
HORVU.MOREX.r3.2HG0196940	GO:0000033	alpha-1,3-mannosyltransferase activity
HORVU.MOREX.r3.4HG0375240	GO:0000035	acyl binding
HORVU.MOREX.r3.7HG0665540	GO:0000035	acyl binding
HORVU.MOREX.r3.1HG0033730	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.2HG0151730	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.2HG0210580	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.3HG0278780	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.4HG0375240	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.5HG0446360	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.5HG0493850	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.5HG0500680	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.5HG0536490	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.6HG0566900	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.6HG0587600	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.7HG0648810	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.7HG0665540	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.7HG0687630	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.7HG0697920	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.7HG0714350	GO:0000036	acyl carrier activity
HORVU.MOREX.r3.1HG0025750	GO:0000041	transition metal ion transport
HORVU.MOREX.r3.1HG0030850	GO:0000041	transition metal ion transport
HORVU.MOREX.r3.1HG0071750	GO:0000041	transition metal ion transport
HORVU.MOREX.r3.2HG0191210	GO:0000041	transition metal ion transport
HORVU.MOREX.r3.2HG0203310	GO:0000041	transition metal ion transport
HORVU.MOREX.r3.4HG0333700	GO:0000041	transition metal ion transport
HORVU.MOREX.r3.4HG0402320	GO:0000041	transition metal ion transport
HORVU.MOREX.r3.4HG0402330	GO:0000041	transition metal ion transport
HORVU.MOREX.r3.7HG0717180	GO:0000041	transition metal ion transport
HORVU.MOREX.r3.7HG0727800	GO:0000041	transition metal ion transport
HORVU.MOREX.r3.1HG0058170	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.1HG0084920	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.2HG0141620	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.2HG0143800	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.2HG0148010	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.2HG0173880	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.2HG0178540	GO:0000045	autophagosome assembly
HORVU.MOREX.r3.2HG0184650	GO:0000045	autophagosome assembly
