model_id	sample	run	genotype	condition	replicate	tissue	time	read1	read2
B_heat_joint	B_SAMN44462700	SRR31127948	wild_Urmia	heat	2	leaf	NA	data/raw/fastq/SRR31127948/SRR31127948_1.fastq.gz	data/raw/fastq/SRR31127948/SRR31127948_2.fastq.gz
B_heat_joint	B_SAMN44462699	SRR31127949	wild_Urmia	heat	1	leaf	NA	data/raw/fastq/SRR31127949/SRR31127949_1.fastq.gz	data/raw/fastq/SRR31127949/SRR31127949_2.fastq.gz
B_heat_joint	B_SAMN44462687	SRR31127951	Mona	heat	1	leaf	NA	data/raw/fastq/SRR31127951/SRR31127951_1.fastq.gz	data/raw/fastq/SRR31127951/SRR31127951_2.fastq.gz
B_heat_joint	B_SAMN44500250	SRR31178571	wild_Urmia	control	2	leaf	NA	data/raw/fastq/SRR31178571/SRR31178571_1.fastq.gz	data/raw/fastq/SRR31178571/SRR31178571_2.fastq.gz
B_heat_joint	B_SAMN44500248	SRR31178573	Mona	control	2	leaf	NA	data/raw/fastq/SRR31178573/SRR31178573_1.fastq.gz	data/raw/fastq/SRR31178573/SRR31178573_2.fastq.gz
B_heat_joint	B_SAMN44500249	SRR31178572	wild_Urmia	control	1	leaf	NA	data/raw/fastq/SRR31178572/SRR31178572_1.fastq.gz	data/raw/fastq/SRR31178572/SRR31178572_2.fastq.gz
B_heat_joint	B_SAMN44500247	SRR31178574	Mona	control	1	leaf	NA	data/raw/fastq/SRR31178574/SRR31178574_1.fastq.gz	data/raw/fastq/SRR31178574/SRR31178574_2.fastq.gz
B_heat_joint	B_SAMN44462689	SRR31127950	Mona	heat	2	leaf	NA	data/raw/fastq/SRR31127950/SRR31127950_1.fastq.gz	data/raw/fastq/SRR31127950/SRR31127950_2.fastq.gz
Pacak_shoot	GSM2184140	SRR3618865	Rolap	control	1	shoot	1 h after heat initiation or matched control time	data/raw/fastq/SRR3618865/SRR3618865_1.fastq.gz	data/raw/fastq/SRR3618865/SRR3618865_2.fastq.gz
Pacak_shoot	GSM2184141	SRR3618866	Rolap	control	2	shoot	1 h after heat initiation or matched control time	data/raw/fastq/SRR3618866/SRR3618866_1.fastq.gz	data/raw/fastq/SRR3618866/SRR3618866_2.fastq.gz
Pacak_shoot	GSM2184142	SRR3618867	Rolap	control	3	shoot	1 h after heat initiation or matched control time	data/raw/fastq/SRR3618867/SRR3618867_1.fastq.gz	data/raw/fastq/SRR3618867/SRR3618867_2.fastq.gz
Pacak_shoot	GSM2184143	SRR3618868	Rolap	heat	1	shoot	1 h after heat initiation or matched control time	data/raw/fastq/SRR3618868/SRR3618868_1.fastq.gz	data/raw/fastq/SRR3618868/SRR3618868_2.fastq.gz
Pacak_shoot	GSM2184144	SRR3618869	Rolap	heat	2	shoot	1 h after heat initiation or matched control time	data/raw/fastq/SRR3618869/SRR3618869_1.fastq.gz	data/raw/fastq/SRR3618869/SRR3618869_2.fastq.gz
Pacak_shoot	GSM2184145	SRR3618870	Rolap	heat	3	shoot	1 h after heat initiation or matched control time	data/raw/fastq/SRR3618870/SRR3618870_1.fastq.gz	data/raw/fastq/SRR3618870/SRR3618870_2.fastq.gz
Pacak_root	GSM2184146	SRR3618871	Rolap	control	1	root	1 h after heat initiation or matched control time	data/raw/fastq/SRR3618871/SRR3618871_1.fastq.gz	data/raw/fastq/SRR3618871/SRR3618871_2.fastq.gz
Pacak_root	GSM2184147	SRR3618872	Rolap	control	2	root	1 h after heat initiation or matched control time	data/raw/fastq/SRR3618872/SRR3618872_1.fastq.gz	data/raw/fastq/SRR3618872/SRR3618872_2.fastq.gz
Pacak_root	GSM2184148	SRR3618873	Rolap	heat	1	root	1 h after heat initiation or matched control time	data/raw/fastq/SRR3618873/SRR3618873_1.fastq.gz	data/raw/fastq/SRR3618873/SRR3618873_2.fastq.gz
Pacak_root	GSM2184149	SRR3618874	Rolap	heat	2	root	1 h after heat initiation or matched control time	data/raw/fastq/SRR3618874/SRR3618874_1.fastq.gz	data/raw/fastq/SRR3618874/SRR3618874_2.fastq.gz
F_tip	F_SAMN49027292	SRR33986268	Morex	heat	3	leaf_tip	4 h during exposure; matched control	data/raw/fastq/SRR33986268/SRR33986268_1.fastq.gz	data/raw/fastq/SRR33986268/SRR33986268_2.fastq.gz
F_base	F_SAMN49027286	SRR33986274	Morex	heat	3	leaf_base	4 h during exposure; matched control	data/raw/fastq/SRR33986274/SRR33986274_1.fastq.gz	data/raw/fastq/SRR33986274/SRR33986274_2.fastq.gz
F_base	F_SAMN49027284	SRR33986260	Morex	heat	1	leaf_base	4 h during exposure; matched control	data/raw/fastq/SRR33986260/SRR33986260_1.fastq.gz	data/raw/fastq/SRR33986260/SRR33986260_2.fastq.gz
F_middle	F_SAMN49027280	SRR33986264	Morex	control	3	leaf_middle	4 h during exposure; matched control	data/raw/fastq/SRR33986264/SRR33986264_1.fastq.gz	data/raw/fastq/SRR33986264/SRR33986264_2.fastq.gz
F_middle	F_SAMN49027279	SRR33986265	Morex	control	2	leaf_middle	4 h during exposure; matched control	data/raw/fastq/SRR33986265/SRR33986265_1.fastq.gz	data/raw/fastq/SRR33986265/SRR33986265_2.fastq.gz
F_tip	F_SAMN49027290	SRR33986270	Morex	heat	1	leaf_tip	4 h during exposure; matched control	data/raw/fastq/SRR33986270/SRR33986270_1.fastq.gz	data/raw/fastq/SRR33986270/SRR33986270_2.fastq.gz
F_base	F_SAMN49027285	SRR33986275	Morex	heat	2	leaf_base	4 h during exposure; matched control	data/raw/fastq/SRR33986275/SRR33986275_1.fastq.gz	data/raw/fastq/SRR33986275/SRR33986275_2.fastq.gz
F_tip	F_SAMN49027281	SRR33986263	Morex	control	1	leaf_tip	4 h during exposure; matched control	data/raw/fastq/SRR33986263/SRR33986263_1.fastq.gz	data/raw/fastq/SRR33986263/SRR33986263_2.fastq.gz
F_middle	F_SAMN49027287	SRR33986273	Morex	heat	1	leaf_middle	4 h during exposure; matched control	data/raw/fastq/SRR33986273/SRR33986273_1.fastq.gz	data/raw/fastq/SRR33986273/SRR33986273_2.fastq.gz
F_base	F_SAMN49027277	SRR33986267	Morex	control	3	leaf_base	4 h during exposure; matched control	data/raw/fastq/SRR33986267/SRR33986267_1.fastq.gz	data/raw/fastq/SRR33986267/SRR33986267_2.fastq.gz
