sample	run	strand	review
B_SAMN44500250	SRR31178571	2	passed
B_SAMN44500248	SRR31178573	2	passed
B_SAMN44500249	SRR31178572	2	passed
B_SAMN44500247	SRR31178574	2	passed
B_SAMN44462700	SRR31127948	2	passed
B_SAMN44462699	SRR31127949	2	passed
B_SAMN44462689	SRR31127950	2	passed
B_SAMN44462687	SRR31127951	2	passed
F_SAMN49027280	SRR33986264	0	passed
F_SAMN49027279	SRR33986265	0	passed
F_SAMN49027287	SRR33986273	0	passed
F_SAMN49027288	SRR33986272	0	passed
F_SAMN49027278	SRR33986266	0	passed
F_SAMN49027289	SRR33986271	0	passed
F_SAMN49027292	SRR33986268	0	passed
F_SAMN49027290	SRR33986270	0	passed
F_SAMN49027281	SRR33986263	0	passed
F_SAMN49027291	SRR33986269	0	passed
F_SAMN49027283	SRR33986261	0	passed
F_SAMN49027282	SRR33986262	0	passed
F_SAMN49027286	SRR33986274	0	passed
F_SAMN49027284	SRR33986260	0	passed
F_SAMN49027285	SRR33986275	0	passed
F_SAMN49027277	SRR33986267	0	passed
F_SAMN49027276	SRR33986276	0	passed
F_SAMN49027275	SRR33986277	0	passed
GSM2184140	SRR3618865	2	passed
GSM2184141	SRR3618866	2	passed
GSM2184142	SRR3618867	2	passed
GSM2184143	SRR3618868	2	passed
GSM2184144	SRR3618869	2	passed
GSM2184145	SRR3618870	2	passed
GSM2184146	SRR3618871	2	passed
GSM2184147	SRR3618872	2	passed
GSM2184148	SRR3618873	2	passed
GSM2184149	SRR3618874	2	passed
CR22_day1_SAMEA9449660	ERR6350169	2	passed
CR22_day1_SAMEA9449661	ERR6350170	2	passed
CR22_day1_SAMEA9449662	ERR6350171	2	passed
CR22_day1_SAMEA9449650	ERR6350160	2	passed
CR22_day1_SAMEA9449652	ERR6350161	2	passed
CR22_day1_SAMEA9449653	ERR6350162	2	passed
CR22_day1_SAMEA9449663	ERR6350172	2	passed
CR22_day1_SAMEA9449664	ERR6350173	2	passed
CR22_day1_SAMEA9449665	ERR6350174	2	passed
CR22_day1_SAMEA9449654	ERR6350163	2	passed
CR22_day1_SAMEA9449655	ERR6350164	2	passed
CR22_day1_SAMEA9449656	ERR6350165	2	passed
CR22_day1_SAMEA9449657	ERR6350166	2	passed
CR22_day1_SAMEA9449658	ERR6350167	2	passed
CR22_day1_SAMEA9449659	ERR6350168	2	passed
CR22_day1_SAMEA9449648	ERR6350157	2	passed
CR22_day1_SAMEA9449651	ERR6350158	2	passed
CR22_day1_SAMEA9449649	ERR6350159	2	passed
CR22_day10_SAMEA9449679	ERR6350187	2	passed
CR22_day10_SAMEA9449680	ERR6350188	2	passed
CR22_day10_SAMEA9449681	ERR6350189	2	passed
CR22_day10_SAMEA9449670	ERR6350178	2	passed
CR22_day10_SAMEA9449671	ERR6350179	2	passed
CR22_day10_SAMEA9449672	ERR6350180	2	passed
CR22_day10_SAMEA9449682	ERR6350190	2	passed
CR22_day10_SAMEA9449683	ERR6350191	2	passed
CR22_day10_SAMEA9449684	ERR6350192	2	passed
CR22_day10_SAMEA9449673	ERR6350181	2	passed
CR22_day10_SAMEA9449674	ERR6350182	2	passed
CR22_day10_SAMEA9449675	ERR6350183	2	passed
CR22_day10_SAMEA9449676	ERR6350184	2	passed
CR22_day10_SAMEA9449677	ERR6350185	2	passed
CR22_day10_SAMEA9449678	ERR6350186	2	passed
CR22_day10_SAMEA9449666	ERR6350175	2	passed
CR22_day10_SAMEA9449667	ERR6350176	2	passed
CR22_day10_SAMEA9449669	ERR6350177	2	passed
HSF_exp1_SAMN44572801	SRR31221187	2	passed
HSF_exp1_SAMN44572788	SRR31221174	2	passed
HSF_exp1_SAMN44572778	SRR31221166	2	passed
HSF_exp1_SAMN44572800	SRR31221186	2	passed
